name,municipality
Spojená škola internátna (Medzilaborce),Medzilaborce
Spojená škola internátna (Michalovce),Michalovce
Spojená škola internátna (Námestovo),Námestovo
Spojená škola internátna (Prakovce),Prakovce
Spojená škola internátna (Rožňava),Rožňava
Spojená škola internátna (Snina),Snina
Spojená škola internátna (Stará Ľubovňa),Stará Ľubovňa
Spojená škola internátna (Svidník),Svidník
Spojená škola internátna (Trebišov),Trebišov
Spojená škola internátna (Trenčín),Trenčín
Spojená škola internátna (Valaská),Valaská
Spojená škola internátna (Vranov nad Topľou),Vranov nad Topľou
Spojená škola internátna (Šahy),Šahy
Spojená škola internátna (Žilina),Žilina
Spojená škola Juraja Henischa,Bardejov
Spojená škola Jána Vojtaššáka internátna,Levoča
Spojená škola Pavla Sabadoša internátna,Prešov
Spojená škola Samuela Mikovíniho,Banská Štiavnica
Spojená škola sv. Jána Bosca,Nová Dubnica
Spojená škola sv. Klementa Hofbauera internátna,Podolínec
Stredná odborná škola (Banská Bystrica),Banská Bystrica
Stredná odborná škola (Handlová),Handlová
Stredná odborná škola (Hnúšťa),Hnúšťa
Stredná odborná škola (Kežmarok),Kežmarok
Stredná odborná škola (Nováky),Nováky
Stredná odborná škola (Pruské),Pruské
Stredná odborná škola (Snina),Snina
Stredná odborná škola (Trenčín),Trenčín
Stredná odborná škola (Vranov nad Topľou),Vranov nad Topľou
Stredná odborná škola (Žarnovica),Žarnovica
Stredná odborná škola - Szakközépiskola,Tornaľa
Stredná odborná škola agropotravinárska a technická,Kežmarok
Stredná odborná škola agrotechnická,Topoľčany
Stredná odborná škola automobilová (Košice-Juh),Košice-Juh
Stredná odborná škola automobilová (Trnava),Trnava
Stredná odborná škola automobilová a podnikania,Senec
Stredná odborná škola beauty služieb (Bratislava-Nové Mesto),Bratislava-Nové Mesto
Stredná odborná škola beauty služieb (Košice-Juh),Košice-Juh
Stredná odborná škola chemická,Bratislava-Ružinov
Stredná odborná škola chemická a Škola umeleckého priemyslu,Hlohovec
Stredná odborná škola chovu koní a služieb - Lótenyésztési és Szolgáltatóipari Szakközépiskola,Šaľa
Stredná odborná škola dopravná (Bratislava-Ružinov),Bratislava-Ružinov
Stredná odborná škola dopravná (Martin),Martin
Stredná odborná škola dopravná (Prešov),Prešov
Stredná odborná škola dopravná (Trenčín),Trenčín
Stredná odborná škola dopravná (Žilina),Žilina
Stredná odborná škola dopravy a služieb (Nové Zámky),Nové Zámky
Stredná odborná škola dopravy a služieb (Strážske),Strážske
Stredná odborná škola drevárska (Spišská Nová Ves),Spišská Nová Ves
Stredná odborná škola drevárska (Topoľčany),Topoľčany
Stredná odborná škola drevárska (Vranov nad Topľou),Vranov nad Topľou
Stredná odborná škola drevárska (Zvolen),Zvolen
Stredná odborná škola drevárska a stavebná,Krásno nad Kysucou
Stredná odborná škola ekonomická,Spišská Nová Ves
